Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,64 x 6,32 x 4,128 x 2,64 x 1,32 x 10,32 x 12,32 x 6,32 x 4,256 x 1,32 x 3,256 x 1,32 x 3,16 x 1,256 x 1,64 x 2,32 x 5,32 x 2,32 x 6,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000025,0.000024,0.000023,0.000022,YES,YES,YES,YES,YES,0.000094,0.000011,0.000010,0.000442,0.000116,0.000115,YES,0.000016,0.000000,0.000691,0.000102,0.000092,0.000087,0.000087,0.000088,0.000085,YES,YES,YES,YES,YES,0.000000,0.000029,0.000029,0.000029,0.000028,YES,YES,YES,YES,YES,0.000709,0.000812,0.000852,0.000852,0.018153,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680053,0.576933,0.680053,1.009739,1.521723,0.937082,0.882793,0.680053,0.576933,1.009739,1.521723,
0,tsukubaSetHalfSize,FLOAT,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,128 x 3,256 x 2,256 x 2,64 x 4,32 x 12,32 x 14,64 x 6,128 x 1,128 x 1,128 x 1,64 x 5,32 x 16,16 x 1,128 x 1,128 x 1,32 x 5,128 x 2,128 x 2,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000029,0.000028,0.000026,0.000025,YES,YES,YES,YES,YES,0.000108,0.000011,0.000010,0.000868,0.000114,0.000114,YES,0.000019,0.000000,0.001133,0.000102,0.000175,0.000176,0.000174,0.000173,0.000169,YES,YES,YES,YES,YES,0.000000,0.000029,0.000029,0.000028,0.000027,YES,YES,YES,YES,YES,0.001151,0.001254,0.001297,0.001297,0.018656,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.997274,0.586252,0.997274,1.039962,No Data,0.902557,0.990335,0.997274,0.586252,1.039962,No Data,
1,tsukubaSet,FLOAT,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 3,64 x 2,128 x 2,256 x 1,128 x 1,32 x 10,32 x 10,64 x 2,32 x 4,256 x 1,256 x 1,256 x 1,16 x 1,16 x 1,256 x 1,256 x 1,64 x 2,64 x 3,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,384,288,0.000001,0.000016,0.000030,0.000029,0.000028,0.000026,YES,YES,YES,YES,YES,0.000113,0.000012,0.000011,0.000607,0.000184,0.000183,YES,0.000041,0.000000,0.000974,0.000305,0.000198,0.000107,0.000099,0.000098,0.000101,YES,YES,YES,YES,YES,0.000000,0.000068,0.000038,0.000036,0.000042,YES,YES,YES,YES,YES,0.000997,0.001302,0.001441,0.001441,0.193723,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.560562,0.616028,1.560562,0.998152,1.654353,0.813775,1.063615,1.560562,0.616028,0.998152,1.654353,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,64 x 4,256 x 1,128 x 4,256 x 2,256 x 1,32 x 5,32 x 12,32 x 16,32 x 4,32 x 1,32 x 2,16 x 1,16 x 1,32 x 4,128 x 1,32 x 2,32 x 2,64 x 5,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,384,288,0.000001,0.000016,0.000039,0.000034,0.000036,0.000036,YES,YES,YES,YES,YES,0.000145,0.000011,0.000011,0.001509,0.000186,0.000186,YES,0.000050,0.000000,0.001920,0.000307,0.000508,0.000250,0.000245,0.000241,0.000263,YES,YES,YES,YES,YES,0.000000,0.000067,0.000039,0.000037,0.000043,YES,YES,YES,YES,YES,0.001945,0.002255,0.002385,0.002385,0.193327,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.452913,0.630946,1.452913,1.009705,No Data,0.691386,1.088453,1.452913,0.630946,1.009705,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,128 x 2,128 x 1,64 x 2,256 x 1,128 x 1,16 x 1,32 x 3,32 x 1,64 x 1,32 x 2,256 x 1,32 x 3,16 x 1,128 x 2,16 x 1,32 x 1,256 x 1,64 x 2,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,434,383,0.000001,0.000020,0.000046,0.000037,0.000035,0.000035,YES,YES,YES,YES,YES,0.000155,0.000012,0.000012,0.000890,0.000282,0.000281,YES,0.000085,0.000000,0.001447,0.000433,0.000430,0.000130,0.000111,0.000109,0.000109,YES,YES,YES,YES,YES,0.000000,0.000134,0.000049,0.000049,0.000048,YES,YES,YES,YES,YES,0.001473,0.001906,0.002109,0.002109,0.486258,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.754472,0.901910,1.754472,1.009289,1.825886,0.735463,1.116500,1.754472,0.901910,1.009289,1.825886,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,32 x 16,256 x 1,64 x 1,256 x 2,128 x 1,16 x 1,64 x 3,256 x 2,256 x 2,32 x 2,32 x 1,32 x 4,16 x 1,128 x 2,16 x 1,64 x 1,256 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,434,383,0.000001,0.000020,0.000065,0.000052,0.000051,0.000050,YES,YES,YES,YES,YES,0.000219,0.000012,0.000011,0.002568,0.000285,0.000284,YES,0.000086,0.000000,0.003191,0.000431,0.001307,0.000348,0.000308,0.000299,0.000302,YES,YES,YES,YES,YES,0.000000,0.000135,0.000050,0.000050,0.000049,YES,YES,YES,YES,YES,0.003219,0.003652,0.003851,0.003851,0.479357,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.459565,0.912981,1.459565,1.034675,No Data,0.639821,1.198038,1.459565,0.912981,1.034675,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,256 x 1,64 x 2,64 x 1,128 x 1,64 x 1,16 x 1,64 x 3,32 x 5,256 x 1,64 x 1,64 x 1,128 x 1,16 x 1,256 x 1,32 x 3,32 x 1,128 x 2,128 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,432,381,0.000001,0.000023,0.000054,0.000046,0.000044,0.000043,YES,YES,YES,YES,YES,0.000187,0.000012,0.000012,0.001510,0.000396,0.000396,YES,0.000122,0.000000,0.002248,0.000424,0.000862,0.000254,0.000133,0.000130,0.000128,YES,YES,YES,YES,YES,0.000000,0.000204,0.000071,0.000058,0.000062,YES,YES,YES,YES,YES,0.002275,0.002700,0.002895,0.002895,0.773443,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.981064,0.826932,No Data,1.038699,2.087540,0.541026,1.140098,1.981064,0.826932,1.038699,2.087540,
3,barn1,FLOAT,16,8,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,64 x 7,32 x 3,64 x 2,128 x 1,128 x 1,16 x 1,64 x 3,256 x 2,256 x 2,128 x 1,64 x 1,32 x 4,16 x 1,256 x 2,32 x 2,256 x 1,16 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,432,381,0.000001,0.000023,0.000080,0.000069,0.000067,0.000067,YES,YES,YES,YES,YES,0.000284,0.000012,0.000012,0.004537,0.000399,0.000398,YES,0.000117,0.000000,0.005376,0.000429,0.002679,0.000617,0.000432,0.000408,0.000403,YES,YES,YES,YES,YES,0.000000,0.000205,0.000065,0.000064,0.000065,YES,YES,YES,YES,YES,0.005402,0.005832,0.006044,0.006044,0.764421,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.108070,0.829021,No Data,1.074325,No Data,0.604476,1.339677,1.108070,0.829021,1.074325,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,64 x 4,256 x 1,32 x 1,128 x 2,128 x 1,256 x 1,64 x 3,32 x 5,256 x 1,32 x 1,32 x 1,256 x 1,16 x 1,128 x 2,128 x 1,32 x 2,256 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,450,375,0.000001,0.000054,0.000138,0.000081,0.000086,0.000065,YES,YES,YES,YES,YES,0.000371,0.000014,0.000013,0.006396,0.000769,0.000768,YES,0.000223,0.000000,0.007826,0.000433,0.004347,0.001116,0.000402,0.000257,0.000272,YES,YES,YES,YES,YES,0.000000,0.000410,0.000151,0.000118,0.000088,YES,YES,YES,YES,YES,0.007850,0.008288,0.008504,0.008504,1.711806,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.955754,0.772681,No Data,1.085148,1.629135,0.447342,2.044133,1.955754,0.772681,1.085148,1.629135,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,32 x 4,32 x 1,32 x 1,256 x 2,64 x 1,64 x 1,32 x 4,128 x 1,256 x 2,128 x 1,64 x 1,64 x 2,16 x 1,256 x 2,32 x 1,64 x 2,128 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,450,375,0.000001,0.000054,0.000209,0.000135,0.000152,0.000113,YES,YES,YES,YES,YES,0.000610,0.000014,0.000013,0.011524,0.000750,0.000750,YES,0.000219,0.000000,0.013169,0.000447,0.007425,0.001942,0.000726,0.000714,0.000712,YES,YES,YES,YES,YES,0.000000,0.000405,0.000146,0.000093,0.000105,YES,YES,YES,YES,YES,0.013197,0.013646,0.013854,0.013854,1.714111,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.317926,0.777954,No Data,1.100071,No Data,0.586024,1.342646,1.317926,0.777954,1.100071,No Data,
5,conesHalfSize,FLOAT,16,8,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,256 x 1,128 x 1,16 x 1,128 x 1,128 x 1,128 x 1,16 x 1,64 x 3,64 x 3,128 x 1,32 x 1,32 x 3,16 x 1,256 x 1,128 x 2,256 x 1,64 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,900,750,0.000001,0.000436,0.000638,0.000246,0.000151,0.000149,YES,YES,YES,YES,YES,0.001183,0.000017,0.000017,0.067743,0.004343,0.004342,YES,0.001558,0.000000,0.075263,0.001595,0.049887,0.012644,0.003274,0.001126,0.000806,YES,YES,YES,YES,YES,0.000000,0.003052,0.000803,0.000283,0.000205,YES,YES,YES,YES,YES,0.075298,0.076905,0.077574,0.077574,14.178179,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.950101,0.720593,No Data,1.030100,1.254450,0.413866,2.060315,2.950101,0.720593,1.030100,1.254450,
5,conesHalfSize,FLOAT,16,8,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,128 x 4,128 x 1,16 x 1,128 x 1,256 x 1,256 x 1,16 x 1,256 x 1,128 x 1,256 x 2,32 x 1,128 x 1,16 x 1,256 x 2,128 x 3,256 x 1,256 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,900,750,0.000001,0.000440,0.000742,0.000377,0.000268,0.000280,YES,YES,YES,YES,YES,0.001666,0.000017,0.000017,0.087045,0.004332,0.004331,YES,0.001524,0.000000,0.095025,0.001600,0.059399,0.017173,0.006989,0.002112,0.001326,YES,YES,YES,YES,YES,0.000000,0.003076,0.000797,0.000284,0.000173,YES,YES,YES,YES,YES,0.095065,0.096652,0.097313,0.097313,14.178034,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.379259,0.723450,No Data,1.035939,No Data,0.604170,1.427289,2.379259,0.723450,1.035939,No Data,
6,conesFullSizeCropped,FLOAT,16,8,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,64 x 3,256 x 1,16 x 1,128 x 2,128 x 2,128 x 1,16 x 1,128 x 2,64 x 4,32 x 1,32 x 1,16 x 1,16 x 1,256 x 1,128 x 2,64 x 1,32 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,900,750,0.000001,0.001118,0.001289,0.000481,0.000324,0.000241,YES,YES,YES,YES,YES,0.002337,0.000022,0.000021,0.148096,0.008954,0.008954,YES,0.003110,0.000000,0.163619,0.001588,0.106463,0.029405,0.007712,0.002839,0.001650,YES,YES,YES,YES,YES,0.000000,0.006249,0.001747,0.000537,0.000429,YES,YES,YES,YES,YES,0.163660,0.165241,0.165914,0.165914,29.838792,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.833174,0.626001,No Data,1.022993,1.236270,0.484370,1.479749,2.833174,0.626001,1.022993,1.236270,
6,conesFullSizeCropped,FLOAT,16,8,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,128 x 1,64 x 1,16 x 1,128 x 1,128 x 2,256 x 1,16 x 1,256 x 1,256 x 1,128 x 2,32 x 2,64 x 1,16 x 1,256 x 1,128 x 3,128 x 1,32 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,900,750,0.000001,0.001109,0.001458,0.000729,0.000606,0.000447,YES,YES,YES,YES,YES,0.003241,0.000024,0.000023,0.186516,0.008748,0.008748,YES,0.003065,0.000000,0.202714,0.001639,0.124327,0.036080,0.017226,0.005977,0.002971,YES,YES,YES,YES,YES,0.000000,0.006174,0.001635,0.000537,0.000405,YES,YES,YES,YES,YES,0.202761,0.204429,0.205115,0.205115,29.811050,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.310682,0.624279,No Data,1.057641,No Data,0.618808,1.473989,2.310682,0.624279,1.057641,No Data,
0,tsukubaSetHalfSize,DOUBLE,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,64 x 5,128 x 3,128 x 3,64 x 5,64 x 6,64 x 6,64 x 6,64 x 5,256 x 1,256 x 1,32 x 2,64 x 5,16 x 1,16 x 1,128 x 3,64 x 5,128 x 3,64 x 5,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000026,0.000025,0.000024,0.000023,YES,YES,YES,YES,YES,0.000097,0.000010,0.000010,0.000487,0.000123,0.000123,YES,0.000018,0.000000,0.000748,0.000102,0.000117,0.000092,0.000090,0.000090,0.000097,YES,YES,YES,YES,YES,0.000000,0.000030,0.000033,0.000031,0.000029,YES,YES,YES,YES,YES,0.000765,0.000867,0.000909,0.000909,0.015609,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,0.937082,No Data,0.790725,0.711353,1.106620,1.579932,
0,tsukubaSetHalfSize,DOUBLE,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,128 x 3,64 x 4,64 x 5,256 x 1,32 x 4,32 x 10,32 x 3,32 x 4,128 x 1,16 x 1,32 x 5,64 x 3,16 x 1,256 x 1,64 x 2,64 x 5,64 x 2,256 x 2,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000031,0.000031,0.000031,0.000027,YES,YES,YES,YES,YES,0.000121,0.000011,0.000010,0.000980,0.000123,0.000122,YES,0.000024,0.000000,0.001272,0.000103,0.000202,0.000196,0.000198,0.000193,0.000190,YES,YES,YES,YES,YES,0.000000,0.000031,0.000031,0.000030,0.000030,YES,YES,YES,YES,YES,0.001290,0.001396,0.001437,0.001437,0.015706,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,0.902557,No Data,1.406298,0.718164,1.007895,No Data,
1,tsukubaSet,DOUBLE,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,128 x 2,64 x 2,64 x 1,64 x 1,16 x 1,32 x 3,32 x 8,32 x 1,32 x 1,128 x 1,256 x 1,128 x 1,16 x 1,32 x 1,16 x 1,64 x 1,256 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,384,288,0.000001,0.000019,0.000032,0.000029,0.000029,0.000028,YES,YES,YES,YES,YES,0.000119,0.000011,0.000011,0.000833,0.000238,0.000238,YES,0.000088,0.000000,0.001311,0.000296,0.000386,0.000127,0.000107,0.000105,0.000107,YES,YES,YES,YES,YES,0.000000,0.000116,0.000045,0.000038,0.000040,YES,YES,YES,YES,YES,0.001336,0.001632,0.001771,0.001771,0.193787,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,0.813775,No Data,2.082234,0.629625,1.017340,1.947206,
1,tsukubaSet,DOUBLE,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,64 x 6,32 x 2,64 x 8,64 x 1,64 x 1,32 x 5,32 x 10,64 x 8,32 x 4,256 x 1,32 x 1,32 x 4,16 x 1,32 x 4,16 x 1,256 x 1,32 x 2,64 x 5,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,384,288,0.000001,0.000019,0.000046,0.000042,0.000041,0.000040,YES,YES,YES,YES,YES,0.000170,0.000011,0.000011,0.002436,0.000252,0.000252,YES,0.000087,0.000000,0.002979,0.000306,0.001233,0.000334,0.000281,0.000287,0.000300,YES,YES,YES,YES,YES,0.000000,0.000118,0.000046,0.000040,0.000048,YES,YES,YES,YES,YES,0.003006,0.003314,0.003449,0.003449,0.168294,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,0.691386,No Data,1.717225,0.729533,1.015129,No Data,
2,venus,DOUBLE,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,32 x 5,256 x 1,32 x 1,64 x 4,64 x 1,16 x 1,16 x 1,64 x 2,128 x 2,64 x 1,64 x 1,32 x 2,16 x 1,256 x 1,16 x 1,32 x 1,16 x 1,32 x 5,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,434,383,0.000001,0.000029,0.000068,0.000045,0.000036,0.000036,YES,YES,YES,YES,YES,0.000185,0.000011,0.000011,0.001426,0.000411,0.000411,YES,0.000153,0.000000,0.002216,0.000432,0.000848,0.000209,0.000125,0.000120,0.000120,YES,YES,YES,YES,YES,0.000000,0.000234,0.000072,0.000053,0.000051,YES,YES,YES,YES,YES,0.002241,0.002676,0.002868,0.002868,0.478948,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,0.735463,No Data,2.096625,0.908349,1.019548,2.098825,
2,venus,DOUBLE,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,64 x 8,64 x 1,32 x 1,256 x 1,16 x 1,16 x 1,32 x 14,256 x 2,256 x 1,128 x 1,16 x 1,256 x 1,16 x 1,128 x 2,16 x 1,128 x 1,128 x 1,64 x 8,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,434,383,0.000001,0.000029,0.000103,0.000074,0.000059,0.000060,YES,YES,YES,YES,YES,0.000297,0.000012,0.000012,0.004483,0.000412,0.000411,YES,0.000140,0.000000,0.005377,0.000423,0.002655,0.000746,0.000363,0.000351,0.000367,YES,YES,YES,YES,YES,0.000000,0.000230,0.000071,0.000057,0.000053,YES,YES,YES,YES,YES,0.005403,0.005831,0.006019,0.006019,0.480692,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,0.639821,No Data,1.564373,0.899454,1.058158,No Data,
3,barn1,DOUBLE,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,64 x 3,128 x 1,32 x 1,256 x 1,256 x 1,16 x 1,64 x 3,32 x 5,256 x 1,256 x 1,256 x 1,32 x 2,16 x 1,256 x 1,256 x 1,128 x 1,16 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,432,381,0.000001,0.000038,0.000110,0.000049,0.000044,0.000044,YES,YES,YES,YES,YES,0.000249,0.000012,0.000012,0.003589,0.000596,0.000595,YES,0.000222,0.000000,0.004708,0.000419,0.002319,0.000690,0.000211,0.000183,0.000185,YES,YES,YES,YES,YES,0.000000,0.000348,0.000108,0.000072,0.000068,YES,YES,YES,YES,YES,0.004731,0.005154,0.005352,0.005352,0.771359,,0.500125,0.500125,0.850211,0.039127,0.025742,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,No Data,No Data,No Data,No Data,No Data,0.541026,No Data,2.286608,0.831032,1.078792,1.868417,
