Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,30,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,900,750,7,0.000000,0.004620,0.008025,0.001376,0.000266,0.000098,0.009764,0.000130,0.000128,0.166177,0.038031,0.038028,0.014374,0.000001,0.233092,0.000103,0.129445,0.030077,0.004934,0.001306,0.000549,0.000000,0.028344,0.007211,0.001788,0.000702,0.233133,0.233236,0.233441,0.233441,12.549760,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.980337,0.814095,,0.980337,0.980337,,0.997773,1.055727,2.332062,,,,,,,,,,,,,,,,,,,0.980337,0.814095,0.997773,1.055727,1.565452,0.503269,
5,conesHalfSize,FLOAT,30,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,900,750,7,0.000000,0.004678,0.008015,0.001386,0.000277,0.000088,0.009755,0.000113,0.000111,0.178759,0.038616,0.038614,0.014374,0.000001,0.246084,0.000103,0.137879,0.032563,0.005595,0.001425,0.000578,0.000000,0.028493,0.007319,0.001836,0.000648,0.246126,0.246229,0.246450,0.246450,12.549760,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.939468,0.817314,,0.939468,,0.939468,1.006681,1.055727,2.615216,,,,,,,,,,,,,,,,,,,0.939468,0.817314,1.006681,1.055727,1.474926,0.503739,
6,conesFullSizeCropped,FLOAT,30,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,900,750,7,0.000000,0.009852,0.015424,0.003475,0.000788,0.000520,0.020168,0.000693,0.000692,0.346096,0.079541,0.079539,0.027944,0.000001,0.484252,0.000102,0.259492,0.067595,0.013537,0.003050,0.001166,0.000000,0.057568,0.015140,0.004479,0.002205,0.484294,0.484398,0.484621,0.484621,24.442308,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.969963,0.764212,,0.969963,0.969963,,0.996839,1.030939,2.227138,,,,,,,,,,,,,,,,,,,0.969963,0.764212,0.996839,1.030939,1.548870,0.491089,
6,conesFullSizeCropped,FLOAT,30,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,900,750,7,0.000000,0.009901,0.015354,0.003471,0.000727,0.000354,0.019895,0.000577,0.000575,0.360525,0.080192,0.080190,0.028067,0.000001,0.499248,0.000103,0.271989,0.069235,0.014485,0.003543,0.001214,0.000000,0.057208,0.015315,0.004370,0.002180,0.499291,0.499394,0.499614,0.499614,24.442308,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948642,0.761401,,0.948642,,0.948642,0.996482,1.030939,2.555188,,,,,,,,,,,,,,,,,,,0.948642,0.761401,0.996482,1.030939,1.431062,0.517499,
0,tsukubaSetHalfSize,DOUBLE,30,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,192,144,15,0.000000,0.000038,0.000025,0.000019,0.000016,0.000016,0.000076,0.000021,0.000021,0.000542,0.000187,0.000186,0.000041,0.000000,0.000906,0.000016,0.000230,0.000118,0.000071,0.000054,0.000058,0.000000,0.000085,0.000039,0.000028,0.000036,0.000924,0.000940,0.000946,0.000946,0.020362,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.759909,0.545322,0.759909,,0.759909,,0.995402,2.512149,1.500396,,,,,,,,,,0.759909,0.545322,0.995402,2.512149,,0.784724,
0,tsukubaSetHalfSize,DOUBLE,30,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,192,144,15,0.000000,0.000040,0.000025,0.000019,0.000017,0.000016,0.000077,0.000021,0.000021,0.001868,0.000236,0.000235,0.000088,0.000000,0.002336,0.000017,0.001097,0.000427,0.000181,0.000099,0.000064,0.000000,0.000112,0.000053,0.000034,0.000035,0.002354,0.002370,0.002377,0.002377,0.020362,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.849975,0.553956,0.849975,,,0.849975,0.977523,2.512149,13.911393,,,,,,,,,,0.849975,0.553956,0.977523,2.512149,,0.653624,
1,tsukubaSet,DOUBLE,30,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,384,288,15,0.000000,0.000175,0.000093,0.000035,0.000024,0.000022,0.000175,0.000025,0.000025,0.002584,0.000995,0.000994,0.000253,0.000000,0.004222,0.000021,0.001705,0.000490,0.000202,0.000114,0.000071,0.000000,0.000657,0.000186,0.000086,0.000062,0.004245,0.004275,0.004303,0.004303,0.132974,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.857145,0.917569,0.857145,,0.857145,,1.045077,2.372139,3.183882,,,,,,,,,,0.857145,0.917569,1.045077,2.372139,,0.614393,
1,tsukubaSet,DOUBLE,30,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,384,288,15,0.000000,0.000241,0.000134,0.000057,0.000027,0.000023,0.000230,0.000037,0.000037,0.007732,0.001326,0.001325,0.000635,0.000000,0.010115,0.000029,0.005372,0.001528,0.000528,0.000235,0.000137,0.000000,0.000894,0.000228,0.000112,0.000079,0.010143,0.010172,0.010207,0.010207,0.132974,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.580261,0.923307,0.580261,,,0.580261,0.881013,2.372139,5.830915,,,,,,,,,,0.580261,0.923307,0.881013,2.372139,,0.587586,
2,venus,DOUBLE,30,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,434,383,15,0.000000,0.000244,0.000226,0.000048,0.000028,0.000025,0.000327,0.000037,0.000036,0.007573,0.001926,0.001925,0.000622,0.000000,0.010749,0.000041,0.005339,0.001393,0.000470,0.000226,0.000147,0.000000,0.001236,0.000428,0.000168,0.000091,0.010787,0.010828,0.010882,0.010882,0.459369,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.552545,0.947065,0.552545,,0.552545,,1.001057,1.628515,1.799427,,,,,,,,,,0.552545,0.947065,1.001057,1.628515,,1.823278,
2,venus,DOUBLE,30,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,434,383,15,0.000000,0.000253,0.000277,0.000053,0.000028,0.000025,0.000384,0.000039,0.000038,0.014105,0.002116,0.002115,0.000763,0.000000,0.017593,0.000044,0.009813,0.002880,0.000837,0.000297,0.000171,0.000000,0.001470,0.000376,0.000159,0.000097,0.017626,0.017668,0.017721,0.017721,0.459369,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.531339,0.941204,0.531339,,,0.531339,1.029771,1.628515,1.818661,,,,,,,,,,0.531339,0.941204,1.029771,1.628515,,0.568127,
3,barn1,DOUBLE,30,16,8,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,432,381,15,0.000000,0.000418,0.000540,0.000113,0.000034,0.000030,0.000716,0.000040,0.000040,0.014209,0.003313,0.003311,0.001186,0.000001,0.019870,0.000039,0.010746,0.002345,0.000697,0.000265,0.000142,0.000000,0.002352,0.000657,0.000221,0.000080,0.019910,0.019949,0.020008,0.020008,0.728926,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,0.611610,0.879409,,,0.611610,,1.000403,1.282498,1.671710,,,,,,,,,,0.611610,0.879409,1.000403,1.282498,,0.429271,
